locus_tag	ftype	length_bp	gene	EC_number	COG	product
IJIGEHEJ_00770	CDS	318				hypothetical protein
IJIGEHEJ_00771	CDS	639				hypothetical protein
IJIGEHEJ_00772	CDS	936				hypothetical protein
IJIGEHEJ_00773	CDS	1926	scrA_1		COG1263	PTS system sucrose-specific EIIBCA component
IJIGEHEJ_00774	CDS	1668	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase
IJIGEHEJ_00775	CDS	1002	rbsR_1		COG1609	Ribose operon repressor
IJIGEHEJ_00776	CDS	1086				hypothetical protein
IJIGEHEJ_00777	CDS	756	fetB		COG0390	putative iron export permease protein FetB
IJIGEHEJ_00778	CDS	651	fetA	7.2.2.-	COG4619	putative iron export ATP-binding protein FetA
IJIGEHEJ_00779	CDS	1446	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
IJIGEHEJ_00780	CDS	444				hypothetical protein
IJIGEHEJ_00781	CDS	852	qorB_1	1.6.5.2	COG0702	Quinone oxidoreductase 2
IJIGEHEJ_00782	CDS	825		3.1.3.-	COG0561	Putative phosphatase
IJIGEHEJ_00783	CDS	864	gmuE_1	2.7.1.4	COG1940	Putative fructokinase
IJIGEHEJ_00784	CDS	2631	mngB	3.2.1.-	COG0383	Mannosylglycerate hydrolase
IJIGEHEJ_00785	CDS	1101	fruA_2		COG1299	PTS system fructose-specific EIIB'BC component
IJIGEHEJ_00786	CDS	321	manP		COG1299	PTS system mannose-specific EIIBCA component
IJIGEHEJ_00787	CDS	462	fruA_3		COG1299	PTS system fructose-specific EIIABC component
IJIGEHEJ_00788	CDS	1905	licR		COG1762	putative licABCH operon regulator
IJIGEHEJ_00789	CDS	459				hypothetical protein
IJIGEHEJ_00790	CDS	882	qorB_2	1.6.5.2	COG0702	Quinone oxidoreductase 2
IJIGEHEJ_00791	CDS	237				hypothetical protein
IJIGEHEJ_00792	CDS	1782				hypothetical protein
IJIGEHEJ_00793	CDS	669	nth_1	4.2.99.18		Endonuclease III
IJIGEHEJ_00794	CDS	258				hypothetical protein
IJIGEHEJ_00795	CDS	552	urdA_1	1.3.99.33		Urocanate reductase
IJIGEHEJ_00796	CDS	1257				hypothetical protein
IJIGEHEJ_00797	CDS	600				hypothetical protein
IJIGEHEJ_00798	CDS	483	perR		COG0735	Peroxide operon regulator
IJIGEHEJ_00799	CDS	357				hypothetical protein
IJIGEHEJ_00800	CDS	228				hypothetical protein
IJIGEHEJ_00801	CDS	855	cpdA	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
IJIGEHEJ_00802	CDS	552		2.3.1.-		Acetyltransferase
IJIGEHEJ_00803	CDS	420	lrgA		COG1380	Antiholin-like protein LrgA
IJIGEHEJ_00804	CDS	729	lrgB		COG1346	Antiholin-like protein LrgB
IJIGEHEJ_00805	CDS	876			COG1307	DegV domain-containing protein
IJIGEHEJ_00806	CDS	168				hypothetical protein
IJIGEHEJ_00807	CDS	699				hypothetical protein
IJIGEHEJ_00808	CDS	1497	crtN_1	1.3.8.-		4,4'-diapophytoene desaturase (4,4'-diaponeurosporene-forming)
IJIGEHEJ_00809	CDS	882	crtM	2.5.1.96	COG1562	4,4'-diapophytoene synthase
IJIGEHEJ_00810	CDS	942				hypothetical protein
IJIGEHEJ_00811	CDS	1113	garK	2.7.1.165	COG1929	Glycerate 2-kinase
IJIGEHEJ_00812	CDS	1335	pdhD_2	1.8.1.4		Dihydrolipoyl dehydrogenase
IJIGEHEJ_00813	CDS	330				hypothetical protein
IJIGEHEJ_00814	CDS	1299	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
IJIGEHEJ_00815	CDS	1290	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
IJIGEHEJ_00816	CDS	978	guaC	1.7.1.7		GMP reductase
IJIGEHEJ_00817	CDS	786	iphP	3.1.3.48		Tyrosine-protein phosphatase
IJIGEHEJ_00818	CDS	1449	clsA	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
IJIGEHEJ_00819	CDS	150				hypothetical protein
IJIGEHEJ_00820	CDS	675				hypothetical protein
IJIGEHEJ_00821	CDS	1875				hypothetical protein
IJIGEHEJ_00822	CDS	585				hypothetical protein
IJIGEHEJ_00823	CDS	483				hypothetical protein
IJIGEHEJ_00824	CDS	1425	bcaP_2		COG0531	Branched-chain amino acid permease BcaP
IJIGEHEJ_00825	CDS	129				hypothetical protein
IJIGEHEJ_00826	CDS	2043	kup_1			Low affinity potassium transport system protein Kup
IJIGEHEJ_00827	CDS	945	mneS_1		COG0053	Manganese efflux system protein MneS
IJIGEHEJ_00828	CDS	1047				hypothetical protein
IJIGEHEJ_00829	CDS	1119				hypothetical protein
IJIGEHEJ_00830	CDS	381	nepB			Nicotine metabolites export pump subunit NepB
IJIGEHEJ_00831	CDS	309	qacC			Quaternary ammonium compound-resistance protein QacC
IJIGEHEJ_00832	CDS	639				hypothetical protein
IJIGEHEJ_00833	CDS	345	ziaR		COG0640	Transcriptional repressor SmtB 
IJIGEHEJ_00834	CDS	888	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
IJIGEHEJ_00835	CDS	594				hypothetical protein
IJIGEHEJ_00836	CDS	234				hypothetical protein
IJIGEHEJ_00837	CDS	171				hypothetical protein
IJIGEHEJ_00838	CDS	549	tag_1	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
IJIGEHEJ_00839	CDS	1149				hypothetical protein
IJIGEHEJ_00840	CDS	588	folQ3	3.6.1.67	COG0127	Dihydroneopterin triphosphate diphosphatase
IJIGEHEJ_00841	CDS	1365	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
IJIGEHEJ_00842	CDS	570	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
IJIGEHEJ_00843	CDS	513	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
IJIGEHEJ_00844	CDS	369	folB	4.1.2.25		Dihydroneopterin aldolase
IJIGEHEJ_00845	CDS	534				hypothetical protein
IJIGEHEJ_00846	CDS	924	psaA_2		COG0803	Manganese ABC transporter substrate-binding lipoprotein PsaA
IJIGEHEJ_00847	CDS	1416	ribZ_1		COG2814	Riboflavin transporter RibZ
IJIGEHEJ_00848	CDS	177				hypothetical protein
IJIGEHEJ_00849	CDS	261				hypothetical protein
IJIGEHEJ_00850	CDS	720				hypothetical protein
IJIGEHEJ_00851	CDS	762				hypothetical protein
IJIGEHEJ_00852	CDS	660			COG1136	putative ABC transporter ATP-binding protein
IJIGEHEJ_00853	CDS	1479				hypothetical protein
IJIGEHEJ_00854	CDS	2058				hypothetical protein
IJIGEHEJ_00855	CDS	564	tag_2	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
IJIGEHEJ_00856	CDS	3903	smc_4			Chromosome partition protein Smc
IJIGEHEJ_00857	CDS	573				hypothetical protein
IJIGEHEJ_00858	CDS	693	ywaC	2.7.6.5	COG2357	GTP pyrophosphokinase YwaC
IJIGEHEJ_00859	CDS	288				hypothetical protein
IJIGEHEJ_00860	CDS	1395	lctD	1.1.1.436	COG0277	Lactate dehydrogenase (NAD(+),ferredoxin) subunit LctD
IJIGEHEJ_00861	CDS	1032	brpA		COG1316	Biofilm regulatory protein A
IJIGEHEJ_00862	CDS	255				hypothetical protein
IJIGEHEJ_00863	CDS	312				hypothetical protein
IJIGEHEJ_00864	CDS	1326	licC_1		COG1455	Lichenan permease IIC component
IJIGEHEJ_00865	CDS	732	murR			HTH-type transcriptional regulator MurR
IJIGEHEJ_00866	CDS	288				hypothetical protein
IJIGEHEJ_00867	CDS	705	mprA		COG0745	Response regulator MprA
IJIGEHEJ_00868	CDS	1377	sasA_1	2.7.13.3		Adaptive-response sensory-kinase SasA
IJIGEHEJ_00869	CDS	393	adhR		COG0789	HTH-type transcriptional regulator AdhR
IJIGEHEJ_00870	CDS	1401	ribZ_2		COG2814	Riboflavin transporter RibZ
IJIGEHEJ_00871	CDS	252				hypothetical protein
IJIGEHEJ_00872	CDS	306				hypothetical protein
IJIGEHEJ_00873	CDS	648				hypothetical protein
IJIGEHEJ_00874	CDS	1395	mntH_1			Divalent metal cation transporter MntH
IJIGEHEJ_00875	CDS	690	betI_1			HTH-type transcriptional regulator BetI
IJIGEHEJ_00876	CDS	441	ywnA_1		COG1959	Putative HTH-type transcriptional regulator YwnA
IJIGEHEJ_00877	CDS	411	lpdD			Protein LpdD
IJIGEHEJ_00878	CDS	564	lpdB	2.5.1.129	COG0163	Flavin prenyltransferase LpdB
IJIGEHEJ_00879	CDS	1749				hypothetical protein
IJIGEHEJ_00880	CDS	2820				hypothetical protein
IJIGEHEJ_00881	CDS	1209	tagF	2.7.8.12	COG1887	Teichoic acid poly(glycerol phosphate) polymerase
IJIGEHEJ_00882	CDS	405	tagD_1	2.7.7.39	COG0615	Glycerol-3-phosphate cytidylyltransferase
IJIGEHEJ_00883	CDS	783				hypothetical protein
IJIGEHEJ_00884	CDS	1962				hypothetical protein
IJIGEHEJ_00885	CDS	1998				hypothetical protein
IJIGEHEJ_00886	CDS	1644	treA	3.2.1.93	COG0366	Trehalose-6-phosphate hydrolase
IJIGEHEJ_00887	CDS	720	treR		COG2188	HTH-type transcriptional regulator TreR
IJIGEHEJ_00888	CDS	288				hypothetical protein
IJIGEHEJ_00889	CDS	279				hypothetical protein
IJIGEHEJ_00890	CDS	783	pnuC			Nicotinamide riboside transporter PnuC
IJIGEHEJ_00891	CDS	792	map	3.4.11.18		Methionine aminopeptidase
IJIGEHEJ_00892	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase
IJIGEHEJ_00893	CDS	1146	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
IJIGEHEJ_00894	CDS	543	cysE	2.3.1.30	COG1045	Serine acetyltransferase
IJIGEHEJ_00895	CDS	1023	kdgK	2.7.1.45		2-dehydro-3-deoxygluconokinase
IJIGEHEJ_00896	CDS	735	dgaF	4.1.2.14		2-dehydro-3-deoxy-phosphogluconate aldolase
IJIGEHEJ_00897	CDS	1101	dgaE	4.3.1.29		D-glucosaminate-6-phosphate ammonia lyase
IJIGEHEJ_00898	CDS	1119		3.1.1.-	COG3964	Deacetylase
IJIGEHEJ_00899	CDS	1095	mupG_1	3.2.1.-		6-phospho-N-acetylmuramidase
IJIGEHEJ_00900	CDS	267				hypothetical protein
IJIGEHEJ_00901	CDS	1359	licC_2		COG1455	Lichenan permease IIC component
IJIGEHEJ_00902	CDS	696				hypothetical protein
IJIGEHEJ_00903	CDS	549	chrR	1.6.5.2	COG0431	Quinone reductase
IJIGEHEJ_00904	CDS	1347				hypothetical protein
IJIGEHEJ_00905	CDS	465	ndkA	2.7.4.6	COG0105	Nucleoside diphosphate kinase
IJIGEHEJ_00906	CDS	402				hypothetical protein
IJIGEHEJ_00907	CDS	555				hypothetical protein
IJIGEHEJ_00908	CDS	327				hypothetical protein
IJIGEHEJ_00909	CDS	333	trxA_2		COG3118	Thioredoxin
IJIGEHEJ_00910	CDS	552				hypothetical protein
IJIGEHEJ_00911	CDS	1158	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
IJIGEHEJ_00912	CDS	450	mtlF		COG4668	Mannitol-specific phosphotransferase enzyme IIA component
IJIGEHEJ_00913	CDS	2076	mtlR		COG3711	Transcriptional regulator MtlR
IJIGEHEJ_00914	CDS	1839				hypothetical protein
IJIGEHEJ_00915	CDS	1416	pepD	3.4.13.19		Dipeptidase
IJIGEHEJ_00916	CDS	921				hypothetical protein
IJIGEHEJ_00917	CDS	1506	vprA	1.1.1.-	COG1053	Vinyl phenol reductase
IJIGEHEJ_00918	CDS	1209				hypothetical protein
IJIGEHEJ_00919	CDS	714	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
IJIGEHEJ_00920	CDS	204				hypothetical protein
IJIGEHEJ_00921	CDS	414				hypothetical protein
IJIGEHEJ_00922	CDS	471	greA_1		COG0782	Transcription elongation factor GreA
IJIGEHEJ_00923	CDS	831	dkgB	1.1.1.274		2,5-diketo-D-gluconic acid reductase B
IJIGEHEJ_00924	CDS	486	bsaA			Glutathione peroxidase BsaA
IJIGEHEJ_00925	CDS	570	ykoE		COG4721	Putative HMP/thiamine permease protein YkoE
IJIGEHEJ_00926	CDS	1407	ykoD_1	7.6.2.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
IJIGEHEJ_00927	CDS	660				hypothetical protein
IJIGEHEJ_00928	CDS	1521	vmlR		COG0488	Ribosome protection protein VmlR
IJIGEHEJ_00929	CDS	384	fluC1		COG0239	Fluoride-specific ion channel FluC 1
IJIGEHEJ_00930	CDS	351	fluC2		COG0239	Fluoride-specific ion channel FluC 2
IJIGEHEJ_00931	CDS	192				hypothetical protein
IJIGEHEJ_00932	CDS	1188	ackA_1	2.7.2.1	COG0282	Acetate kinase
IJIGEHEJ_00933	CDS	873	rqcH_2		COG1293	Rqc2 RqcH
IJIGEHEJ_00934	CDS	351				hypothetical protein
IJIGEHEJ_00935	CDS	222				hypothetical protein
IJIGEHEJ_00936	CDS	990	gpr_1	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
IJIGEHEJ_00937	CDS	624	pspA_2	3.1.3.3	COG0406	Phosphoserine phosphatase 1
IJIGEHEJ_00938	CDS	1074	serC	2.6.1.52		Phosphoserine aminotransferase
IJIGEHEJ_00939	CDS	1179	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
IJIGEHEJ_00940	CDS	444	yiaC	2.3.1.-	COG0456	Peptidyl-lysine N-acetyltransferase YiaC
IJIGEHEJ_00941	CDS	1662	dppA_1		COG4166	Dipeptide-binding protein
IJIGEHEJ_00942	CDS	1662	dppA_2		COG4166	Dipeptide-binding protein
IJIGEHEJ_00943	CDS	843				hypothetical protein
IJIGEHEJ_00944	CDS	132				hypothetical protein
IJIGEHEJ_00945	CDS	2973				hypothetical protein
IJIGEHEJ_00946	CDS	915	cysB			HTH-type transcriptional regulator CysB
IJIGEHEJ_00947	CDS	1674	malL_2	3.2.1.10	COG0366	Oligo-1,6-glucosidase
IJIGEHEJ_00948	CDS	1572	nhaC_1		COG1757	Na(+)/H(+) antiporter NhaC
IJIGEHEJ_00949	CDS	915	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
IJIGEHEJ_00950	CDS	1677	malL_3	3.2.1.10	COG0366	Oligo-1,6-glucosidase
IJIGEHEJ_00951	CDS	981	degA		COG1609	HTH-type transcriptional regulator DegA
IJIGEHEJ_00952	CDS	1506	scrB	3.2.1.26		Sucrose-6-phosphate hydrolase
IJIGEHEJ_00953	CDS	1956	scrA_2		COG1263	PTS system sucrose-specific EIIBCA component
IJIGEHEJ_00954	CDS	2160	melA_1	3.2.1.22	COG3345	Alpha-galactosidase Mel36A
IJIGEHEJ_00955	CDS	867	gmuE_2	2.7.1.4	COG1940	Putative fructokinase
IJIGEHEJ_00956	CDS	273				hypothetical protein
IJIGEHEJ_00957	CDS	2847				hypothetical protein
IJIGEHEJ_00958	CDS	2271	malP_2	2.4.1.8		Maltose phosphorylase
IJIGEHEJ_00959	CDS	1107	msmX_2	7.5.2.-	COG3842	Oligosaccharides import ATP-binding protein MsmX
IJIGEHEJ_00960	CDS	1323	glgE	2.4.99.16		Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase
IJIGEHEJ_00961	CDS	831				hypothetical protein
IJIGEHEJ_00962	CDS	885	ganQ		COG3833	Galactooligosaccharides transport system permease protein GanQ
IJIGEHEJ_00963	CDS	1290	ganP		COG1175	Galactooligosaccharides transport system permease protein GanP
IJIGEHEJ_00964	CDS	1254	mdxE		COG2182	Maltodextrin-binding protein MdxE
IJIGEHEJ_00965	CDS	1674	malL_4	3.2.1.10	COG0366	Oligo-1,6-glucosidase
IJIGEHEJ_00966	CDS	963	ccpA_1		COG1609	Catabolite control protein A
IJIGEHEJ_00967	CDS	1020	purR_1			HTH-type transcriptional repressor PurR
IJIGEHEJ_00968	CDS	708	glpF_1		COG0580	Glycerol uptake facilitator protein
IJIGEHEJ_00969	CDS	369	dhaM	2.7.1.121	COG3412	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM
IJIGEHEJ_00970	CDS	582	dhaL	2.7.1.121	COG1461	PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
IJIGEHEJ_00971	CDS	999	dhaK	2.7.1.121	COG2376	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
IJIGEHEJ_00972	CDS	990	dhaQ		COG2376	DhaKLM operon coactivator DhaQ
IJIGEHEJ_00973	CDS	519				hypothetical protein
IJIGEHEJ_00974	CDS	90				hypothetical protein
IJIGEHEJ_00975	CDS	513	folT_1		COG3601	Folate transporter FolT
IJIGEHEJ_00976	CDS	1542	fixB			Protein FixB
IJIGEHEJ_00977	CDS	663				hypothetical protein
IJIGEHEJ_00978	CDS	1617			COG3559	Multidrug efflux system permease protein
IJIGEHEJ_00979	CDS	918		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
IJIGEHEJ_00980	CDS	795	fabG_2	1.1.1.100	COG1028	3-oxoacyl-[acyl-carrier-protein] reductase FabG
IJIGEHEJ_00981	CDS	492				hypothetical protein
IJIGEHEJ_00982	CDS	813				hypothetical protein
IJIGEHEJ_00983	CDS	786				hypothetical protein
IJIGEHEJ_00984	CDS	330				hypothetical protein
IJIGEHEJ_00985	CDS	753	gmuR_1		COG2188	HTH-type transcriptional regulator GmuR
IJIGEHEJ_00986	CDS	219				hypothetical protein
IJIGEHEJ_00987	CDS	561				hypothetical protein
IJIGEHEJ_00988	CDS	1701	ykoD_2	7.6.2.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
IJIGEHEJ_00989	CDS	840	ecfT_2		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
IJIGEHEJ_00990	CDS	1110	ard	1.3.1.125		NADH:acrylate oxidoreductase
IJIGEHEJ_00991	CDS	975				hypothetical protein
IJIGEHEJ_00992	CDS	495				hypothetical protein
IJIGEHEJ_00993	CDS	813				hypothetical protein
IJIGEHEJ_00994	CDS	1695	cla-hy	4.2.1.-		Linoleate hydratase
IJIGEHEJ_00995	CDS	456				hypothetical protein
IJIGEHEJ_00996	CDS	873	pdxI	1.1.1.65	COG0667	Pyridoxine 4-dehydrogenase
IJIGEHEJ_00997	CDS	849		1.1.1.-	COG0656	Aldo-keto reductase/MSMEI_2347
IJIGEHEJ_00998	CDS	111				hypothetical protein
IJIGEHEJ_00999	CDS	1194	yycB		COG2807	putative transporter YycB
IJIGEHEJ_01000	CDS	330				hypothetical protein
IJIGEHEJ_01001	CDS	1233	sbnD_2		COG2814	Staphyloferrin B transporter
IJIGEHEJ_01002	CDS	399				putative HTH-type transcriptional regulator
IJIGEHEJ_01003	CDS	456				hypothetical protein
IJIGEHEJ_01004	CDS	423				Acid shock protein
IJIGEHEJ_01005	CDS	474				hypothetical protein
IJIGEHEJ_01006	CDS	603		1.6.5.7		2-hydroxy-1,4-benzoquinone reductase
IJIGEHEJ_01007	CDS	195				hypothetical protein
IJIGEHEJ_01008	CDS	759	deoD	2.4.2.1		Purine nucleoside phosphorylase DeoD-type
IJIGEHEJ_01009	CDS	2739	ctpF	7.2.2.-		putative cation-transporting ATPase F
	repeat_region	960				
IJIGEHEJ_01010	CDS	678				hypothetical protein
IJIGEHEJ_01011	CDS	306	cas2	3.1.-.-	COG3512	CRISPR-associated endoribonuclease Cas2
IJIGEHEJ_01012	CDS	906	cas1	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
IJIGEHEJ_01013	CDS	4077	cas9	3.1.-.-	COG3513	CRISPR-associated endonuclease Cas9
IJIGEHEJ_01014	CDS	1515	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
IJIGEHEJ_01015	CDS	1365	thrP_1		COG1113	Threonine/serine transporter ThrP
IJIGEHEJ_01016	CDS	471	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
IJIGEHEJ_01017	CDS	1593				hypothetical protein
IJIGEHEJ_01018	CDS	741		2.4.2.-	COG2071	Putative glutamine amidotransferase
IJIGEHEJ_01019	CDS	1200				hypothetical protein
IJIGEHEJ_01020	CDS	654	thiE	2.5.1.3		Thiamine-phosphate synthase
IJIGEHEJ_01021	CDS	825	thiD	2.7.1.49		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
IJIGEHEJ_01022	CDS	792	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
IJIGEHEJ_01023	CDS	135				hypothetical protein
IJIGEHEJ_01024	CDS	978	tdh_2	1.1.1.103		L-threonine 3-dehydrogenase
IJIGEHEJ_01025	CDS	831	larE	4.4.1.37	COG1606	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide synthase
IJIGEHEJ_01026	CDS	717	larD_1		COG0580	D/L-lactic acid transporter
IJIGEHEJ_01027	CDS	432	larC_1	4.99.1.12	COG1641	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein
IJIGEHEJ_01028	CDS	792	larC_2	4.99.1.12	COG1641	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein
IJIGEHEJ_01029	CDS	741	larB	2.5.1.143	COG1691	Pyridinium-3,5-biscarboxylic acid mononucleotide synthase
IJIGEHEJ_01030	CDS	1275	larA	5.1.2.1	COG3875	Lactate racemase
IJIGEHEJ_01031	CDS	666	larR		COG0664	Lactate racemization regulatory protein
IJIGEHEJ_01032	CDS	987	larMN		COG0310	putative fused nickel transport protein LarMN
IJIGEHEJ_01033	CDS	822	larQ		COG0619	Nickel permease LarQ
IJIGEHEJ_01034	CDS	732	larO	7.2.2.-	COG1122	Nickel import ATP-binding protein LarO
IJIGEHEJ_01035	CDS	234				hypothetical protein
IJIGEHEJ_01036	CDS	780	aadA	2.7.7.47		Aminoglycoside (3'') (9) adenylyltransferase
IJIGEHEJ_01037	CDS	126				hypothetical protein
IJIGEHEJ_01038	CDS	750				hypothetical protein
IJIGEHEJ_01039	CDS	1644	dppA_3		COG4166	Dipeptide-binding protein
IJIGEHEJ_01040	CDS	435				hypothetical protein
IJIGEHEJ_01041	CDS	747	yaaA		COG3022	DNA-binding and peroxide stress resistance protein YaaA
IJIGEHEJ_01042	CDS	864	pepIP	3.4.11.5		Proline iminopeptidase
IJIGEHEJ_01043	tRNA	76				tRNA-Met(cat)
IJIGEHEJ_01044	tRNA	77				tRNA-Asp(gtc)
IJIGEHEJ_01045	CDS	540				hypothetical protein
IJIGEHEJ_01046	CDS	498			COG3039	IS5 family transposase ISCaa8
IJIGEHEJ_01047	CDS	321			COG3039	IS5 family transposase ISNieu4
IJIGEHEJ_01048	CDS	276				hypothetical protein
IJIGEHEJ_01049	tRNA	75				tRNA-Ile(gat)
IJIGEHEJ_01050	tRNA	75				tRNA-Ala(tgc)
IJIGEHEJ_01051	rRNA	104				5S ribosomal RNA
IJIGEHEJ_01052	CDS	339				hypothetical protein
IJIGEHEJ_01053	CDS	879				IS3 family transposase ISBce13
IJIGEHEJ_01054	CDS	1341	lacL	3.2.1.23		Beta-galactosidase large subunit
IJIGEHEJ_01055	CDS	960	lacM	3.2.1.23		Beta-galactosidase small subunit
IJIGEHEJ_01056	CDS	1839	melA_2	3.2.1.22	COG3345	Alpha-galactosidase Mel36A
IJIGEHEJ_01057	CDS	1947	lacS_1		COG2190	Lactose permease
IJIGEHEJ_01058	CDS	432			COG3039	IS5 family transposase ISLpl3
IJIGEHEJ_01059	CDS	372			COG3039	IS5 family transposase ISLpl3
IJIGEHEJ_01060	CDS	687				IS6 family transposase ISBth20
IJIGEHEJ_01061	CDS	174				hypothetical protein
IJIGEHEJ_01062	CDS	1086				hypothetical protein
IJIGEHEJ_01063	CDS	510				hypothetical protein
IJIGEHEJ_01064	CDS	957				hypothetical protein
IJIGEHEJ_01065	rRNA	1563				16S ribosomal RNA
IJIGEHEJ_01066	rRNA	78				5S ribosomal RNA (partial)
IJIGEHEJ_01067	rRNA	2917				23S ribosomal RNA
IJIGEHEJ_01068	CDS	489				hypothetical protein
IJIGEHEJ_01069	CDS	147				hypothetical protein
IJIGEHEJ_01070	CDS	723		2.4.2.-	COG2071	Putative glutamine amidotransferase
IJIGEHEJ_01071	CDS	1302			COG0531	putative transporter
IJIGEHEJ_01072	CDS	693			COG2826	IS30 family transposase IS1070
IJIGEHEJ_01073	CDS	417	arsC_1	1.20.4.4	COG0394	Arsenate reductase
IJIGEHEJ_01074	CDS	765				hypothetical protein
IJIGEHEJ_01075	CDS	279				hypothetical protein
IJIGEHEJ_01076	CDS	300				hypothetical protein
IJIGEHEJ_01077	CDS	357				hypothetical protein
IJIGEHEJ_01078	CDS	279				hypothetical protein
IJIGEHEJ_01079	CDS	588				hypothetical protein
IJIGEHEJ_01080	CDS	360				hypothetical protein
IJIGEHEJ_01081	CDS	351				hypothetical protein
IJIGEHEJ_01082	CDS	198				hypothetical protein
IJIGEHEJ_01083	CDS	1527	gtfA_1	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
IJIGEHEJ_01084	CDS	1509	gtfA_2	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
IJIGEHEJ_01085	CDS	1635				hypothetical protein
IJIGEHEJ_01086	CDS	405				hypothetical protein
IJIGEHEJ_01087	CDS	1197				hypothetical protein
IJIGEHEJ_01088	CDS	1158	xerC_3			Tyrosine recombinase XerC
IJIGEHEJ_01089	CDS	231				hypothetical protein
IJIGEHEJ_01090	CDS	273				hypothetical protein
IJIGEHEJ_01091	CDS	486				hypothetical protein
IJIGEHEJ_01092	CDS	1974	smc_5			Chromosome partition protein Smc
IJIGEHEJ_01093	CDS	888				hypothetical protein
IJIGEHEJ_01094	CDS	1392	brnQ_2		COG1114	Branched-chain amino acid permease BrnQ
IJIGEHEJ_01095	CDS	1737	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
IJIGEHEJ_01096	CDS	651	aqpZ2		COG0580	Aquaporin Z 2
IJIGEHEJ_01097	CDS	1194				hypothetical protein
IJIGEHEJ_01098	CDS	1338				hypothetical protein
IJIGEHEJ_01099	CDS	300				hypothetical protein
IJIGEHEJ_01100	CDS	588				hypothetical protein
IJIGEHEJ_01101	CDS	279				hypothetical protein
IJIGEHEJ_01102	CDS	573				hypothetical protein
IJIGEHEJ_01103	CDS	693				hypothetical protein
IJIGEHEJ_01104	CDS	1014				hypothetical protein
IJIGEHEJ_01105	CDS	2151				hypothetical protein
IJIGEHEJ_01106	CDS	1353	nox_3	1.6.3.4	COG0446	NADH oxidase
IJIGEHEJ_01107	CDS	474				hypothetical protein
IJIGEHEJ_01108	CDS	132				hypothetical protein
IJIGEHEJ_01109	CDS	144				hypothetical protein
IJIGEHEJ_01110	CDS	132				hypothetical protein
IJIGEHEJ_01111	CDS	1764	bmrA	7.6.2.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
IJIGEHEJ_01112	CDS	1578	tagE	2.4.1.52	COG0438	Poly(glycerol-phosphate) alpha-glucosyltransferase
IJIGEHEJ_01113	CDS	1995	macB	7.6.2.-		Macrolide export ATP-binding/permease protein MacB
IJIGEHEJ_01114	CDS	192				hypothetical protein
IJIGEHEJ_01115	CDS	1353	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
IJIGEHEJ_01116	CDS	858	glcU_1			putative glucose uptake protein GlcU
IJIGEHEJ_01117	CDS	1182	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
